"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2021","57,193.5","56,618.5","58,604.6","56,618.5","3.96K","1.02%"
"May 02, 2021","56,618.5","57,859.2","57,859.2","56,363.9","2.37K","-2.14%"
"May 01, 2021","57,859.2","57,780.0","58,372.6","57,282.9","2.69K","0.14%"
"Apr 30, 2021","57,780.0","53,579.6","57,780.0","53,579.6","4.82K","7.84%"
"Apr 29, 2021","53,579.6","54,899.3","54,899.3","53,351.7","4.53K","-2.40%"
"Apr 28, 2021","54,899.3","55,077.4","55,077.4","54,600.0","3.69K","-0.33%"
"Apr 27, 2021","55,083.4","54,056.1","55,083.4","54,056.1","3.21K","1.91%"
"Apr 26, 2021","54,051.9","49,106.5","54,051.9","49,106.5","6.73K","10.07%"
"Apr 25, 2021","49,106.5","50,093.4","50,093.4","49,106.5","5.24K","-2.00%"
"Apr 24, 2021","50,110.5","51,154.7","51,154.7","48,935.7","4.04K","-2.11%"
"Apr 23, 2021","51,188.6","51,730.0","51,730.0","49,886.6","11.16K","-1.07%"
"Apr 22, 2021","51,739.7","53,815.3","55,049.9","51,739.7","10.14K","-3.86%"
"Apr 21, 2021","53,815.2","56,499.9","56,499.9","53,815.2","4.79K","-4.75%"
"Apr 20, 2021","56,500.0","55,720.0","56,614.1","54,890.6","7.80K","1.40%"
"Apr 19, 2021","55,720.0","56,239.8","57,067.5","55,544.0","6.65K","-0.93%"
"Apr 18, 2021","56,244.1","60,085.2","60,085.2","55,265.8","12.58K","-6.39%"
"Apr 17, 2021","60,085.2","61,455.0","62,330.7","60,085.2","3.14K","-2.23%"
"Apr 16, 2021","61,455.1","63,243.0","63,243.0","61,455.1","5.83K","-2.83%"
"Apr 15, 2021","63,243.0","62,969.0","63,371.3","62,586.3","2.86K","0.44%"
"Apr 14, 2021","62,969.0","63,587.2","64,422.6","62,762.9","6.03K","-0.95%"
"Apr 13, 2021","63,573.0","59,823.7","63,573.0","59,823.7","6.34K","6.27%"
"Apr 12, 2021","59,823.7","59,956.0","60,733.8","59,792.4","3.52K","-0.22%"
"Apr 11, 2021","59,956.0","59,775.6","59,956.0","59,425.7","2.62K","0.29%"
"Apr 10, 2021","59,779.7","58,110.0","60,559.2","58,110.0","5.89K","2.87%"
"Apr 09, 2021","58,110.0","58,037.0","58,110.4","58,008.0","3.10K","0.13%"
"Apr 08, 2021","58,037.0","55,928.5","58,037.0","55,928.5","2.51K","3.73%"
"Apr 07, 2021","55,951.0","58,017.1","58,017.1","55,951.0","5.04K","-3.56%"
"Apr 06, 2021","58,016.1","59,120.0","59,120.0","58,016.1","2.66K","-1.83%"
"Apr 05, 2021","59,100.0","58,195.0","59,100.0","57,025.8","3.42K","1.55%"
"Apr 04, 2021","58,195.1","57,099.0","58,195.1","57,099.0","2.19K","1.92%"
"Apr 03, 2021","57,099.9","59,020.7","59,363.5","57,099.9","3.55K","-3.25%"
"Apr 02, 2021","59,020.7","58,732.9","59,538.9","58,732.9","4.20K","0.49%"
"Apr 01, 2021","58,732.9","58,786.2","58,907.8","58,553.3","2.45K","-0.08%"
"Mar 31, 2021","58,780.9","58,781.0","59,291.6","58,563.0","5.45K","-0.00%"
"Mar 30, 2021","58,781.0","57,624.2","59,162.9","57,402.8","3.94K","2.01%"
"Mar 29, 2021","57,624.2","55,782.3","57,779.9","55,782.3","5.88K","3.30%"
"Mar 28, 2021","55,782.0","55,852.4","56,423.8","55,482.7","3.56K","-0.13%"
"Mar 27, 2021","55,852.5","55,062.2","55,852.5","55,062.2","3.97K","1.44%"
"Mar 26, 2021","55,062.0","51,310.3","55,062.0","51,310.3","4.95K","7.30%"
"Mar 25, 2021","51,314.9","52,293.8","52,898.0","51,067.2","6.48K","-1.85%"
"Mar 24, 2021","52,283.0","54,334.5","55,500.0","52,283.0","7.90K","-3.82%"
"Mar 23, 2021","54,361.8","54,098.2","54,933.4","53,475.0","5.03K","0.49%"
"Mar 22, 2021","54,096.9","57,378.4","57,497.5","54,096.9","6.16K","-5.74%"
"Mar 21, 2021","57,388.2","58,091.6","58,091.6","57,234.0","3.91K","-1.21%"
"Mar 20, 2021","58,091.6","58,101.8","58,978.5","58,091.6","3.37K","-0.02%"
"Mar 19, 2021","58,101.8","57,640.6","58,643.2","57,640.6","3.86K","0.80%"
"Mar 18, 2021","57,642.0","58,930.1","58,930.1","57,642.0","5.83K","-2.21%"
"Mar 17, 2021","58,947.4","56,891.0","58,947.4","54,942.7","6.51K","3.62%"
"Mar 16, 2021","56,889.7","55,627.6","56,889.7","53,512.2","6.38K","2.32%"
"Mar 15, 2021","55,598.3","59,001.0","59,001.0","55,598.3","6.72K","-5.81%"
"Mar 14, 2021","59,028.1","61,174.9","61,174.9","59,028.1","3.39K","-3.51%"
"Mar 13, 2021","61,177.2","57,234.0","61,427.7","56,777.2","7.25K","6.88%"
"Mar 12, 2021","57,239.0","57,810.0","57,810.0","56,971.1","4.97K","-0.99%"
"Mar 11, 2021","57,809.9","55,851.0","57,809.9","55,851.0","6.11K","3.51%"
"Mar 10, 2021","55,851.0","54,929.0","56,283.7","54,929.0","8.09K","1.71%"
"Mar 09, 2021","54,913.7","52,375.0","54,913.7","52,375.0","5.89K","4.85%"
"Mar 08, 2021","52,375.0","50,971.3","52,375.0","50,471.6","4.67K","2.69%"
"Mar 07, 2021","51,002.6","48,899.9","51,002.6","48,899.9","4.52K","4.30%"
"Mar 06, 2021","48,899.9","48,767.4","48,899.9","47,666.3","3.10K","0.34%"
"Mar 05, 2021","48,734.7","48,358.8","49,089.8","47,095.6","7.48K","0.84%"
"Mar 04, 2021","48,330.0","50,400.0","50,400.0","48,330.0","7.23K","-4.11%"
"Mar 03, 2021","50,400.0","48,486.2","51,000.0","48,486.2","6.72K","3.90%"
"Mar 02, 2021","48,508.7","49,620.7","49,620.7","47,773.1","5.80K","-2.24%"
"Mar 01, 2021","49,620.7","45,245.4","49,620.7","45,245.4","7.07K","9.72%"
"Feb 28, 2021","45,224.2","46,172.1","46,172.1","44,858.7","6.84K","-2.05%"
"Feb 27, 2021","46,172.1","46,333.7","48,102.3","46,172.1","4.24K","-0.36%"
"Feb 26, 2021","46,338.0","47,065.2","47,958.9","46,338.0","10.05K","-1.57%"
"Feb 25, 2021","47,078.9","49,739.9","49,822.0","47,078.9","7.52K","-5.35%"
"Feb 24, 2021","49,739.9","48,899.8","50,882.8","48,899.8","8.11K","1.72%"
"Feb 23, 2021","48,899.8","54,162.0","54,162.0","48,298.7","17.08K","-9.70%"
"Feb 22, 2021","54,151.1","57,478.3","57,478.3","54,151.1","12.30K","-5.79%"
"Feb 21, 2021","57,478.3","55,925.5","57,478.3","55,925.5","3.73K","2.75%"
"Feb 20, 2021","55,938.6","55,926.9","56,899.9","55,926.9","5.85K","0.02%"
"Feb 19, 2021","55,926.9","51,590.5","55,926.9","51,590.5","8.06K","8.38%"
"Feb 18, 2021","51,600.9","52,130.0","52,329.9","51,600.9","4.12K","-1.01%"
"Feb 17, 2021","52,130.0","49,218.7","52,130.0","49,218.7","7.32K","5.92%"
"Feb 16, 2021","49,218.7","47,937.1","49,218.7","47,937.1","6.18K","2.67%"
"Feb 15, 2021","47,937.1","48,649.8","48,649.8","47,811.1","5.34K","-1.51%"
"Feb 14, 2021","48,671.0","47,199.9","49,206.3","47,199.9","3.55K","3.15%"
"Feb 13, 2021","47,183.0","47,470.4","47,470.4","46,845.3","2.63K","-0.53%"
"Feb 12, 2021","47,435.7","47,962.8","47,962.8","47,435.7","5.33K","-1.07%"
"Feb 11, 2021","47,948.2","44,847.5","47,948.2","44,840.0","7.96K","6.94%"
"Feb 10, 2021","44,836.6","46,500.0","46,500.0","44,663.3","6.45K","-3.61%"
"Feb 09, 2021","46,515.7","46,400.9","46,921.3","46,299.1","10.57K","0.24%"
"Feb 08, 2021","46,403.4","38,861.5","46,403.4","38,362.3","13.68K","19.40%"
"Feb 07, 2021","38,862.4","39,257.0","39,347.6","38,457.3","5.14K","-1.06%"
"Feb 06, 2021","39,279.9","38,311.7","40,444.5","38,311.7","9.13K","2.54%"
"Feb 05, 2021","38,308.5","36,979.0","38,308.5","36,979.0","4.81K","3.50%"
"Feb 04, 2021","37,012.0","37,670.9","37,725.2","36,340.6","7.17K","-1.76%"
"Feb 03, 2021","37,676.0","35,500.0","37,676.0","35,500.0","7.01K","6.13%"
"Feb 02, 2021","35,499.9","33,514.1","35,499.9","33,514.1","6.82K","5.86%"
"Feb 01, 2021","33,533.9","33,122.0","33,579.0","33,122.0","5.48K","1.20%"
"Jan 31, 2021","33,135.5","34,296.5","34,296.5","33,133.8","4.63K","-3.39%"
"Jan 30, 2021","34,296.5","34,266.3","34,296.5","33,743.0","5.25K","0.13%"
"Jan 29, 2021","34,252.0","33,430.4","37,949.9","33,430.4","20.78K","2.46%"
"Jan 28, 2021","33,430.4","30,413.9","33,430.4","30,413.9","8.82K","9.92%"
"Jan 27, 2021","30,413.9","32,501.0","32,501.0","30,413.9","11.22K","-6.45%"
"Jan 26, 2021","32,512.3","32,273.4","32,512.3","31,557.4","8.85K","0.76%"
"Jan 25, 2021","32,266.0","32,297.8","33,076.8","32,266.0","9.13K","0.02%"
"Jan 24, 2021","32,261.1","32,100.5","32,435.5","31,370.2","4.83K","0.50%"
"Jan 23, 2021","32,100.5","33,000.0","33,000.0","31,937.0","6.10K","-2.77%"
"Jan 22, 2021","33,016.6","30,820.8","33,070.3","30,820.8","15.25K","7.18%"
"Jan 21, 2021","30,805.8","35,511.8","35,511.8","30,805.8","19.51K","-13.25%"
"Jan 20, 2021","35,511.8","35,926.5","36,122.9","34,426.6","9.17K","-1.08%"
"Jan 19, 2021","35,900.3","36,630.0","37,126.5","35,900.3","6.30K","-1.97%"
"Jan 18, 2021","36,622.5","35,816.4","36,622.5","35,816.4","7.46K","2.25%"
"Jan 17, 2021","35,816.4","36,014.6","36,674.2","35,076.4","9.02K","-0.55%"
"Jan 16, 2021","36,014.6","36,739.8","37,096.6","35,884.3","8.84K","-2.10%"
"Jan 15, 2021","36,785.9","39,151.6","39,151.6","36,000.0","13.49K","-6.04%"
"Jan 14, 2021","39,151.8","37,390.0","39,771.7","37,031.1","10.49K","4.70%"
"Jan 13, 2021","37,392.8","34,057.1","37,392.8","34,057.1","13.13K","9.75%"
"Jan 12, 2021","34,071.9","35,444.0","36,185.6","34,071.9","13.74K","-3.87%"
"Jan 11, 2021","35,442.1","38,148.9","38,148.9","32,211.2","27.06K","-7.15%"
"Jan 10, 2021","38,170.5","40,252.1","41,037.0","38,170.5","14.58K","-5.17%"
"Jan 09, 2021","40,252.1","40,655.7","40,932.0","40,252.1","5.99K","-1.02%"
"Jan 08, 2021","40,666.7","39,489.0","40,666.7","39,489.0","14.07K","3.00%"
"Jan 07, 2021","39,482.8","36,867.9","39,482.8","36,867.9","16.18K","7.07%"
"Jan 06, 2021","36,875.2","34,050.0","36,875.2","34,050.0","12.35K","8.30%"
"Jan 05, 2021","34,050.0","32,048.0","34,365.3","30,968.6","10.98K","6.25%"
"Jan 04, 2021","32,047.9","33,084.7","33,084.7","31,820.8","16.12K","-3.13%"
"Jan 03, 2021","33,084.7","32,215.4","34,129.4","32,215.4","12.13K","2.62%"
"Jan 02, 2021","32,238.8","29,398.9","32,979.4","29,398.9","19.62K","9.69%"
"Jan 01, 2021","29,390.7","28,959.2","29,390.7","28,959.2","5.86K","1.49%"
