unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632272820,2021-09-22 01:07:00,BTC/USD,41179.49,41234.63,41176.26,41224.91,1.21908935,50256.8487357085
1632272760,2021-09-22 01:06:00,BTC/USD,41037.09,41179.72,41037.09,41179.72,0.33028683,13601.1191790876
1632272700,2021-09-22 01:05:00,BTC/USD,41180.03,41180.98,41021.57,41021.57,0.30468913,12498.826474534098
1632272640,2021-09-22 01:04:00,BTC/USD,41042.20,41161.90,41022.49,41137.08,1.77644331,73077.6905589348
1632272580,2021-09-22 01:03:00,BTC/USD,41102.50,41223.03,41102.50,41117.29,0.33055390,13591.480566931
1632272520,2021-09-22 01:02:00,BTC/USD,40868.57,41104.09,40868.57,41065.31,1.94455245,79853.6491705095
1632272460,2021-09-22 01:01:00,BTC/USD,40890.25,40899.81,40808.87,40887.41,2.35209567,96171.10001851471
1632272400,2021-09-22 01:00:00,BTC/USD,41031.52,41078.50,40887.32,40887.32,2.19014113,89549.00122747161
1632272340,2021-09-22 00:59:00,BTC/USD,41015.79,41035.54,40986.84,41025.01,0.34778622,14267.9331533622
1632272280,2021-09-22 00:58:00,BTC/USD,41010.24,41037.96,40990.58,41027.68,0.06686000,2743.1106848
1632272220,2021-09-22 00:57:00,BTC/USD,41008.39,41028.41,40983.25,41028.41,2.54613030,104463.67786182302
1632272160,2021-09-22 00:56:00,BTC/USD,40842.34,41003.83,40842.34,40975.51,2.04144187,83649.1217586037
1632272100,2021-09-22 00:55:00,BTC/USD,40773.21,40851.63,40773.21,40848.42,0.37709403,15403.6953169326
1632272040,2021-09-22 00:54:00,BTC/USD,40852.74,40852.74,40749.60,40797.83,2.29297349,93548.3426395267
1632271980,2021-09-22 00:53:00,BTC/USD,40720.56,40878.37,40716.81,40871.36,2.33016496,95237.0109395456
1632271920,2021-09-22 00:52:00,BTC/USD,40710.45,40710.45,40691.98,40709.93,0.21880960,8907.723499328
1632271860,2021-09-22 00:51:00,BTC/USD,40717.59,40745.70,40678.33,40716.63,2.22065961,90417.77569631429
1632271800,2021-09-22 00:50:00,BTC/USD,40693.30,40741.56,40693.30,40717.60,0.54304123,22111.335586648
1632271740,2021-09-22 00:49:00,BTC/USD,40730.06,40748.89,40662.40,40686.88,2.15980485,87875.72075536799
